,comment_label,comment_predicted,comment_prob
0,0,0,3.2887492e-06
1,1,1,0.9850429
2,1,1,0.5827285
3,0,0,3.7910417e-09
4,0,0,2.1176587e-11
5,0,0,0.00072932884
6,0,0,4.0757534e-08
7,1,0,1.485458e-05
8,0,0,0.0041019293
9,0,0,8.641369e-11
10,1,1,0.55057716
11,0,0,0.015543648
12,0,0,0.10502681
13,0,0,0.008745182
14,0,0,4.9652823e-07
15,0,0,0.007204769
16,0,0,0.39088267
17,0,0,6.0927585e-10
18,0,0,0.013636836
19,0,0,1.2771116e-10
20,0,0,0.048767094
21,0,0,0.02964751
22,0,0,1.4480194e-06
23,0,1,0.8580062
24,0,0,8.0715934e-10
25,0,0,6.657017e-05
26,0,0,0.0014103585
27,1,1,0.91228
28,0,0,0.00015843622
29,0,0,3.24265e-09
30,0,0,0.00057929166
31,0,0,0.0004583129
32,0,0,0.000932636
33,0,0,4.8473687e-11
34,0,0,9.4224464e-07
35,0,0,1.990544e-07
36,0,0,7.951138e-06
37,0,0,6.302759e-05
38,0,0,0.00015720345
39,0,0,2.703645e-10
40,0,0,0.035477504
41,1,1,0.99999106
42,0,0,0.0027255826
43,0,0,8.105604e-08
44,0,0,0.0003597694
45,0,0,0.03371654
46,0,0,0.049681153
47,0,0,0.040922303
48,1,1,0.99957937
49,0,0,0.0020111583
50,0,0,2.9311539e-05
51,0,0,7.042271e-08
52,0,0,1.5647497e-10
53,0,0,1.0677029e-06
54,0,0,0.000310156
55,0,0,1.4615769e-09
56,0,0,0.00075835997
57,0,0,3.7166065e-11
58,0,0,0.0027255826
59,0,0,1.7185414e-10
60,1,1,0.9511422
61,0,0,3.237762e-06
62,0,0,0.0020587533
63,0,0,8.15202e-09
64,0,0,0.0006166297
65,1,1,0.99924755
66,1,1,1.0
67,0,0,1.0815941e-11
68,0,0,8.68221e-05
69,0,0,0.0004390453
70,0,0,0.02211659
71,0,0,9.4906874e-11
72,0,0,0.4329023
73,0,0,3.66117e-07
74,0,0,1.4480194e-06
75,0,0,1.154462e-06
76,0,0,1.9473625e-10
77,0,0,0.00019871553
78,1,1,0.93379396
79,0,0,2.9989609e-09
80,0,0,0.007968815
81,1,0,0.24526574
82,0,0,2.5071593e-05
83,0,0,0.00035419365
84,0,0,0.0001313518
85,0,0,7.254362e-05
86,0,0,0.0131212715
87,0,0,0.0070390454
88,0,0,2.71088e-05
89,1,0,0.039937314
90,0,0,7.194133e-09
91,1,1,0.99999905
92,0,0,1.020345e-09
93,0,0,7.5077514e-11
94,0,0,0.0023781238
95,0,0,4.485759e-07
96,1,0,0.13591877
97,0,0,6.8543172e-06
98,0,0,1.8266257e-07
99,1,1,0.96309197
100,0,0,2.879726e-06
101,0,0,4.3634625e-09
102,0,0,2.295919e-06
103,0,0,0.0002551414
104,0,0,1.4761403e-08
105,0,0,2.026142e-06
106,1,1,0.9995216
107,0,0,0.016466174
